game_id,created_at,bone_count,revealed_count,hit_bone,cash_out_position,multiplier,is_simulated,bone_positions,chicken_positions,revealed_sequence,first_position,last_position,game_duration_positions,success_rate,risk_level
cml7wo5w802gn29egayd3e9di,2026-02-04T10:49:37.496Z,4,4,true,,,false,"2,5,10,15","1,3,4,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25","10,2,5,15",10,15,4,0.000,LOW
cml7wmos202fs29egwelz4fp3,2026-02-04T10:48:28.658Z,4,4,false,4,1.7,true,"5,7,14,25","1,2,3,4,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24","13,12,19,22",13,22,4,1.000,LOW
cml7wmorj02f229eghtkpq3m1,2026-02-04T10:48:28.640Z,4,4,false,4,1.7,true,"3,4,7,21","1,2,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25","12,22,15,14",12,14,4,1.000,LOW
cml7wmor202ec29eg5fsjv2oe,2026-02-04T10:48:28.623Z,4,4,false,4,1.7,true,"3,18,19,20","1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23,24,25","7,23,11,13",7,13,4,1.000,LOW
cml7wmoql02dm29eg3wvikezp,2026-02-04T10:48:28.606Z,4,4,false,4,1.7,true,"1,6,16,20","2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,21,22,23,24,25","12,19,22,8",12,8,4,1.000,LOW
cml7wmoq502cw29egexyqk13l,2026-02-04T10:48:28.589Z,4,3,true,,,true,"3,7,20,22","1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,21,23,24,25","8,12,22",8,22,3,0.667,LOW
cml7wmop402c629eg3uvkqv1w,2026-02-04T10:48:28.553Z,4,4,false,4,1.7,true,"2,5,16,23","1,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25","19,11,12,14",19,14,4,1.000,LOW
cml7wmonp02bg29eg8ptzrcj3,2026-02-04T10:48:28.501Z,4,1,true,,,true,"3,12,16,22","1,2,4,5,6,7,8,9,10,11,13,14,15,17,18,19,20,21,23,24,25","22",22,22,1,0.000,LOW
cml7wmon002aq29egft9s3ol6,2026-02-04T10:48:28.476Z,4,1,true,,,true,"7,14,19,23","1,2,3,4,5,6,8,9,10,11,12,13,15,16,17,18,20,21,22,24,25","23",23,23,1,0.000,LOW
cml7wmomc02a029eg4up1ha05,2026-02-04T10:48:28.452Z,4,1,true,,,true,"5,12,13,17","1,2,3,4,6,7,8,9,10,11,14,15,16,18,19,20,21,22,23,24,25","13",13,13,1,0.000,LOW
